"2025-03";"97.64";"A"
"2025-02";"99.57";"A"
"2025-01";"100.13";"A"
"2024-12";"99.44";"A"
"2024-11";"97.29";"A"
"2024-10";"100.27";"A"
"2024-09";"100.09";"A"
"2024-08";"99.51";"A"
"2024-07";"101.01";"A"
"2024-06";"100.09";"A"
"2024-05";"100.01";"A"
"2024-04";"99.84";"A"
"2024-03";"99.43";"A"
"2024-02";"100.45";"A"
"2024-01";"98.67";"A"
"2023-12";"98.33";"A"
"2023-11";"97.15";"A"
"2023-10";"98.11";"A"
"2023-09";"96.95";"A"
"2023-08";"98.76";"A"
"2023-07";"99.44";"A"
"2023-06";"99.64";"A"
"2023-05";"99.74";"A"
"2023-04";"98.86";"A"
"2023-03";"99.35";"A"
"2023-02";"98.17";"A"
"2023-01";"97.96";"A"
"2022-12";"98.48";"A"
"2022-11";"101.28";"A"
"2022-10";"99.01";"A"
"2022-09";"98.54";"A"
"2022-08";"99.08";"A"
"2022-07";"99.01";"A"
"2022-06";"99.33";"A"
"2022-05";"97.6";"A"
"2022-04";"98.43";"A"
"2022-03";"100.55";"A"
"2022-02";"101.15";"A"
"2022-01";"101.9";"A"
"2021-12";"100.7";"A"
"2021-11";"102.24";"A"
"2021-10";"100.99";"A"
"2021-09";"99.93";"A"
"2021-08";"100.07";"A"
"2021-07";"100.67";"A"
"2021-06";"99.37";"A"
"2021-05";"98.26";"A"
"2021-04";"98.88";"A"
"2021-03";"100.15";"A"
"2021-02";"98.25";"A"
"2021-01";"100.49";"A"
"2020-12";"97.79";"A"
"2020-11";"98.76";"A"
"2020-10";"98.53";"A"
"2020-09";"99.73";"A"
"2020-08";"98.27";"A"
"2020-07";"99.3";"A"
"2020-06";"99.26";"A"
"2020-05";"96.99";"A"
"2020-04";"96.49";"A"
"2020-03";"99.58";"A"
"2020-02";"101.72";"A"
"2020-01";"99.65";"A"
"2019-12";"99.75";"A"
"2019-11";"99.96";"A"
"2019-10";"100.41";"A"
"2019-09";"101.04";"A"
"2019-08";"98.46";"A"
"2019-07";"98.21";"A"
"2019-06";"99.27";"A"
"2019-05";"99.87";"A"
"2019-04";"100.7";"A"
"2019-03";"98.87";"A"
"2019-02";"99.77";"A"
"2019-01";"100.72";"A"
"2018-12";"100.48";"A"
"2018-11";"98.8";"A"
"2018-10";"99.66";"A"
"2018-09";"99.0";"A"
"2018-08";"99.43";"A"
"2018-07";"98.93";"A"
"2018-06";"99.18";"A"
"2018-05";"99.98";"A"
"2018-04";"100.51";"A"
"2018-03";"100.84";"A"
"2018-02";"99.28";"A"
"2018-01";"99.6";"A"
"2017-12";"99.78";"A"
"2017-11";"99.53";"A"
"2017-10";"99.37";"A"
"2017-09";"100.58";"A"
"2017-08";"100.39";"A"
"2017-07";"99.33";"A"
"2017-06";"98.59";"A"
"2017-05";"100.23";"A"
"2017-04";"98.76";"A"
"2017-03";"99.81";"A"
"2017-02";"99.3";"A"
"2017-01";"98.76";"A"
"2016-12";"99.47";"A"
"2016-11";"99.74";"A"
"2016-10";"98.64";"A"
"2016-09";"99.62";"A"
"2016-08";"99.75";"A"
"2016-07";"99.71";"A"
"2016-06";"98.51";"A"
"2016-05";"98.51";"A"
"2016-04";"98.95";"A"
"2016-03";"99.56";"A"
